City,State,Total Sales,Latitude,Longitude
frutal,MG,6156,-20.026893568477362,-48.93338045246045
carangola,MG,6148,-20.732404429910613,-42.02985018888284
brumadinho,MG,6138,-20.139633622914374,-44.17686737780029
sao roque,SP,6076,-23.531378251759307,-47.13133206721378
itapolis,SP,6072,-21.594103987229538,-48.810961818308016
canoinhas,SC,6048,-26.17782757725076,-50.3925025499352
jaboatao dos guararapes,PE,6036,-8.165786812283123,-34.939630853564104
joacaba,SC,6021,-27.172012671658177,-51.509684741408726
santo angelo,RS,6009,-28.30134042181809,-54.26436374524212
monte carmelo,MG,6003,-18.733826890681776,-47.49503520004274
carazinho,RS,5940,-28.29148090364811,-52.790329452470246
nanuque,MG,5936,-17.843864366259112,-40.349299046688735
ibitinga,SP,5928,-21.757225105309477,-48.82954113566028
alfenas,MG,5895,-21.423800223206285,-45.9498902240633
jau,SP,5868,-22.28731191538817,-48.55200385779716
penapolis,SP,5833,-21.42114670317875,-50.07660383505956
cubatao,SP,5827,-23.904922824006388,-46.41815374931781
ourinhos,SP,5759,-22.978577753857472,-49.874952242116755
valenca,BA,5735,-13.366252889368521,-39.07029425491337
cacador,SC,5712,-26.77852968274771,-51.01113499098767
itabuna,BA,5702,-14.791943040994495,-39.27484855012435
tangara da serra,MT,5681,-14.62203374305909,-57.493346530310006
simoes filho,BA,5675,-12.79223227673966,-38.39230405572618
santos dumont,MG,5658,-21.459886640613853,-43.552488064490674
itatiba,SP,5652,-23.013078258000547,-46.8387971213615
catanduva,SP,5647,-21.13533400087893,-48.970293951973126
timbo,SC,5632,-26.82666111427103,-49.27056366270406
curitibanos,SC,5625,-27.29121036079505,-50.57743737428836
rio branco,AC,5593,-9.963191176170538,-67.82338097465177
medianeira,PR,5520,-25.293829054458563,-54.09563648634324
piraju,SP,5497,-23.19771977161293,-49.3830333893483
januaria,MG,5450,-15.483003568217105,-44.375237583981814
guaratingueta,SP,5449,-22.80124778446776,-45.19230858326785
leopoldina,MG,5400,-21.52991288421487,-42.64082897829267
espirito santo do pinhal,SP,5396,-22.19351107692673,-46.752833935680265
lages,SC,5395,-27.815038790981582,-50.32207639112945
bom jesus do itabapoana,RJ,5375,-21.133823234688695,-41.67673131265354
pindamonhangaba,SP,5345,-22.934225918508528,-45.452098919317265
bebedouro,SP,5268,-20.943622283382474,-48.49013679408466
varginha,MG,5260,-21.56066561318979,-45.43821266025174
brumado,BA,5238,-14.205390362926417,-41.671351512555404
pirassununga,SP,5234,-22.000187103526343,-47.42330317503136
belford roxo,RJ,5226,-22.742468350303866,-43.38714609786368
rio verde,GO,5213,-17.800076870007768,-50.91558424470912
campo belo,MG,5187,-20.893531447278015,-45.27572348532854
itapema,SC,5170,-27.110401692856072,-48.60847754647819
rondonopolis,MT,5124,-16.466949833157475,-54.62684956110846
paraty,RJ,5106,-23.21565356854424,-44.70625430779405
santa barbara,MG,5100,-19.96194144024734,-43.4106149135195
venancio aires,RS,5096,-29.611349103407647,-52.19338126352566
sao borja,RS,5094,-28.655020287121772,-56.00476235556698
avare,SP,5083,-23.10041090138891,-48.924277285450636
cravinhos,SP,5075,-21.33891570616722,-47.73819930720571
tres pontas,MG,5035,-21.3704838396877,-45.51293237909967
paraguacu paulista,SP,5020,-22.420432414050108,-50.58021068084823
cachoeirinha,RS,5016,-29.929023391268288,-51.086728291374875
sao gabriel,RS,4991,-30.336582673611524,-54.323633403043296
colatina,ES,4986,-19.53228981398615,-40.636172141863305
guapore,RS,4984,-28.84820397544158,-51.89178727294805
ribeirao das neves,MG,4929,-19.78111030218945,-44.05702823573066
tijucas,SC,4928,-27.239372715824462,-48.63676546024551
angra dos reis,RJ,4913,-22.997162590950044,-44.35198363793925
torres,RS,4893,-29.339175166485482,-49.744406580630006
ribeirao pires,SP,4888,-23.70419175066655,-46.41260124832793
irati,PR,4876,-25.474808632538096,-50.65047330166929
pederneiras,SP,4872,-22.347656923428968,-48.78445709494656
toledo,PR,4861,-24.726078364319022,-53.74319143116907
saquarema,RJ,4852,-22.91690744861627,-42.49767364829746
pinhais,PR,4852,-25.43613771106746,-49.1818615921973
gravatai,RS,4813,-29.93395295351345,-51.01558834057281
santa luzia,MG,4800,-19.78409905036773,-43.90422017004257
barreiras,BA,4796,-12.144995562817892,-44.984111205398186
presidente epitacio,SP,4706,-21.77248985938389,-52.11657702091198
dias d'avila,BA,4675,-12.61333540233956,-38.30095545324636
janauba,MG,4653,-15.809240399106114,-43.31036746042048
mesquita,RJ,4651,-22.781849000820504,-43.42342889274535
poa,SP,4647,-23.52578482020009,-46.34600223877449
machado,MG,4646,-21.680632756906842,-45.92039473748944
osvaldo cruz,SP,4620,-21.7957025544846,-50.87915583052284
senhor do bonfim,BA,4608,-10.460625240713668,-40.18655549598152
cajamar,SP,4604,-23.384856895242663,-46.83719172834481
itapira,SP,4574,-22.434839223267456,-46.821987994012474
sao pedro da aldeia,RJ,4553,-22.822178392545407,-42.14738820019144
cambui,MG,4550,-22.611936487633038,-46.05805292605788
canela,RS,4541,-29.360440226259545,-50.81066234990898
sao fidelis,RJ,4531,-21.64590439372865,-41.75191032867078
manaus,AM,4528,-3.0868383633079075,-60.01370732184882
tupa,SP,4521,-21.933089671165163,-50.51092072146644
marau,RS,4475,-28.44601154888608,-52.203083203411936
sao francisco do sul,SC,4460,-26.24549771113401,-48.60693050432597
ilheus,BA,4448,-14.804186207549941,-39.03876796550572
patrocinio,MG,4447,-18.94489823891855,-46.99169106569256
marica,RJ,4421,-22.927813192833177,-42.87061258795128
veranopolis,RS,4420,-28.937007758690118,-51.54972580795972
concordia,SC,4411,-27.230316431435682,-52.02485300719706
navegantes,SC,4356,-26.884521397097355,-48.65403656124298
panambi,RS,4351,-28.29442910777995,-53.5027457807587
aguas de lindoia,SP,4350,-22.476947251872723,-46.61928145435118
mineiros,GO,4343,-17.557703592233374,-52.55028458026995
macapa,AP,4334,0.038272211836722955,-51.06712579561405
rancharia,SP,4324,-22.229221089376427,-50.894533203119614
irece,BA,4324,-11.304144808760658,-41.85605522911219
barao de cocais,MG,4313,-19.935257710679906,-43.48081357039087
jatai,GO,4294,-17.884244940734757,-51.72175375370005
cordeiro,RJ,4275,-22.026526909860515,-42.36704656911488
jacobina,BA,4268,-11.186623499612486,-40.508474128668475
socorro,SP,4255,-22.595144429716772,-46.51392941682048
leme,SP,4228,-22.18816901673807,-47.38517698615737
colombo,PR,4174,-25.35323438841975,-49.190519790196234
ferraz de vasconcelos,SP,4144,-23.537535062794767,-46.37364655369313
cianorte,PR,4125,-23.656737586735517,-52.60941095489391
salinas,MG,4088,-16.163512734683835,-42.292924032468456
sao manuel,SP,4080,-22.740790054563668,-48.57185745610011
coromandel,MG,4050,-18.476114447525084,-47.19592749585145
guarapari,ES,4041,-20.660385608363576,-40.49448492026352
mandaguari,PR,4032,-23.52203146452043,-51.67810687798831
guararapes,SP,4011,-21.250677306054758,-50.64652522262235
guarapuava,PR,4009,-25.391876843646724,-51.47082749959902
varzea paulista,SP,3970,-23.217847727077032,-46.838649007392654
uruguaiana,RS,3951,-29.76203281615548,-57.08198500677516
icara,SC,3942,-28.71565981519538,-49.2993831551923
piracaia,SP,3912,-23.055764998393464,-46.359787010443604
jaboticabal,SP,3880,-21.258203930851824,-48.318480097298924
laguna,SC,3850,-28.476154796011475,-48.78480309518197
holambra,SP,3822,-22.63428909222998,-47.053267986483284
iguaba grande,RJ,3800,-22.83868325980988,-42.22199319861276
juquitiba,SP,3800,-23.941356635486777,-47.07142688485967
palmital,SP,3800,-22.786567659941976,-50.2181922665251
piedade,SP,3792,-23.714804669951434,-47.41611706479699
ouro fino,MG,3726,-22.278747864794326,-46.37165071125287
apucarana,PR,3722,-23.556738463546047,-51.46412010236978
camaqua,RS,3708,-30.854071534903333,-51.80862055947612
novo horizonte,SP,3708,-21.469798590230287,-49.22220561413067
ibiruba,RS,3703,-28.630259924541765,-53.096100241255606
santarem,PA,3701,-2.429988362267772,-54.71782335180733
visconde do rio branco,MG,3680,-21.0098672863199,-42.83796668845819
araucaria,PR,3679,-25.58404040797497,-49.38901739549905
brusque,SC,3661,-27.104434645425503,-48.91838050480267
pitangui,MG,3650,-19.684057914354028,-44.89176908297291
paraiba do sul,RJ,3640,-22.165064136726443,-43.292566627183746
itapeva,SP,3637,-23.98483906410494,-48.881617705468294
carlos barbosa,RS,3633,-29.297972828152634,-51.50305044097565
laranjal paulista,SP,3600,-23.049655735476897,-47.83730315679704
pompeia,SP,3600,-22.103822341834295,-50.178654039741254
cacapava,SP,3525,-23.10078687330191,-45.70633921336852
oliveira,MG,3520,-20.698539111736665,-44.826747744809545
cruz das almas,BA,3520,-12.669575109908285,-39.10375410905095
rio do sul,SC,3474,-27.215408920633664,-49.64117018753962
braco do norte,SC,3473,-28.274449221682595,-49.16536665114365
sao mateus do sul,PR,3460,-25.869926317171885,-50.387570172783605
ananindeua,PA,3422,-1.3632769426603755,-48.39873615540365
garopaba,SC,3390,-28.03542950550445,-48.627746848555816
marataizes,ES,3366,-21.028978415532656,-40.81992167866292
chapadao do sul,MS,3360,-18.79359824781996,-52.62552959437822
campos novos,SC,3339,-27.398876426065197,-51.224358387361825
aruja,SP,3319,-23.39988264554002,-46.32228783778139
